naam,zie,betekenis
maan,vrouw,"gids in donkere tijden (de maan reflecteert het licht van de zon), passiviteit"
man,,"zichtbare, spirituele leider"
mirte,,"liefde, huwelijk, vruchtbaarheid"
monnik,,"aanbidding, onderwerping"
muur,,"veiligheid, bescherming, het sensitieve leven is afgescheiden van het goddelijke leven"
naaktheid,,"vrijheid, niets te verbergen, kwetsbaarheid"
natuur,,werken met en in de natuur
olijfblad,,vrede
ondersteboven,,omgekeerde zienswijze
oosten,,zegebrengend
oranje,"geel, rood","passie, hartstocht, optimisme, overdaad, losbandig"
oude man,,"ervaren, bewust van zijn pad"
oude man,,wijsheid
ourobouros,kringloop,slangengordel
paard,,"kracht en vitaliteit, edel en intelligent, fierheid, werklust"
paars,,"inventiviteit, inspiratie, originaliteit, spiritualiteit, boete doen"
paars kleed,paars,
pad,,"reis, bestemming, herkomst"
palmhart,,stijgen naar hoger niveau
palmtak,,overwinning
parels,,"vrouw, verleiding"
pentagram,"pentakel, zintuigen","de nieuwe mens, het universum, elementen + ether (geest)"
pilaren,,"wijsheid, evenwicht in de wereld"
poort,,"doorgang, toegang, naar hemel/hel"
pyramide,,"energie, occulte wijsheid, universele wetten"
rad,,cyclus
ram,,"daadkracht, onvoorzichtig, onvoorspelbaar, autoriteit, leiderschap, aggressiviteit"
rechtsonder,,fysieke wereld
rechts,oosten,"mannelijke kant, verstand, buiten, toekomst"
regenboog,,"zegen van boven, goddelijke bescherming, (geestelijke) rijkdom"
rijksappel,,macht over aarde
rivier,,waterbron
robijn,,"koninklijke waardigheid, hartstochtelijke liefde, levenskracht"
rood,,"fysieke manifestatie, lichamelijkheid, macht, levenskracht"
rood kleed,rood,
roos,,hartverlangens
saffier,,"geeft gemoedsrust,  fysieke/geestelijke/spirituele harmonie, helpt te concentreren, verlicht stress, verbondenheid met de Goddelijke wereld"
salamander,vuur,"geestelijk inzicht, ziel"
scepter,,wereldse macht
schip,boot,
schriftrol,tora,
sfinx,,"wijsheid, levensvragen, macht, middelpunt, balans"
slang,kringloop,"verleiding, onderwereld, dodenrijk"
sleutel,,"meesterschap, toegang (tot de hemel), open en sluiten"
sluier,,"mysterie, ontdekken"
stadsmuur,,herkomst
ster (achtpuntig),,"verdrijft als ochtendster de duisternis,  vruchtbaarheid"
sterren,,hemel
stier,aarde,"offeren, mannelijke vruchtbaarheid, agressie, vechtlust"
stroom,waterbron,zichtbare mysterie
toorts,,"goddelijke energie, verschroeïng"
tora,,goddelijke wet of leer
toren,,"menselijke hoogmoed, huis van God, toren van Babel, de hel"
bazuin,,oproep van de Hogere Natuur 
troon,,macht
troonhemel,troon,
tweesprong,,keuze
vaandel,,zijn wapen is het leven zelf
valk,,"adel, koninklijk, alziend oog, onkwetsbaar"
venussymbool,,godin van liefde en vruchtbaarheid
vierkant,"IV, aarde",materie
vijgenblad,,verschuilen
vis,,"diepgaande transformatie, inwijding"
vleermuisvleugels,,"onze tijd van leven vervliegt bij dag en nacht, bij goed en kwaad"
vogel,,"vrijheid, van ver halen"
vogelpoten,,
volwassen man,man,"viriele, beschermende kracht"
Volwassen vrouw,vrouw,"actieve, vruchtbare kracht, moeder"
voorhang (bij pilaren),,"verborgen, innerlijk (tegenovergesteld bij ontbreken)"
vrouw,,intuïtie
vuur,,"kracht, zowel verterend als reinigend"
water,,"Emoties, gevoelens, oerzee, universele energie, spiegel, de diepte van de ziel, het nog niet gemanifesteerde"
waterbron,water,geneeskrachtig
weegschaal,,"evenwicht, rechtvaardigheid, juiste verhoudingen, voortdurende aanpassing om gerechtigheid te garanderen"
wereldbol,globe,
wijnhuisslak,,"wedergeboorte, opstanding"
wit,,"onschuld, open, zuiver, ‘ware' spiritualiteit, naïviteit, leegte, perfectionisme"
wit kleed,wit,
wolken,,scheiding tussen zichtbare en onzichtbare wereld
Y-vorm,,zie tweesprong
yod,,het kleinste teken van het Hebreeuwse alfabet (druppel/blad-vorm) en de eerste letter van de naam van God: JHWH
yoni,,vrouwelijke geslachtsorganen (zie lingam)
zegening,,creeëren van evenwicht
zintuigen,,"horen, zien, ruiken, proeven, voelen"
zon,,"het licht dat de mensheid leidt, schepper, God, levenskracht"
zonnebloem,zo,"waarheidslievend, wilskracht en vitaliteit, roem en overwinning"
zout,,fysiek lichaam
zwaard (verticaal),,"scherpzinnigheid, gerechtigheid"
zwart,,"nacht, duisternis, rebellie"
zwart kleed,zwart,"rouw, verdriet"
zwarte kat,zwart,"Vrijheidsdrang, intuïtieve gaven, magie, ongeluk, waarschuwer"
zwavel,,ziel
